company,email,site_url,audit_notes,pay_signals,skin_pair,demo_url_a,demo_url_b,status,reply_class,checkout_status,intake_status,delivered_url,source,do_not_contact,quoted_price,vertical,notes,approval_seq,owner_approved_at,sent_at,bounce_at,bounce_type,reply_at,reply_type,meeting_at,quote_at,order_at,order_amount_yen,template_version
株式会社ビルドテクト,mail.bildtct@clock.ocn.ne.jp,"http://www.sciencetect.jp/company.html",2026-08-25 G1: C0=公式はsciencetect.jpのみ（検索・企業DBも同URL。別の新公式なし）。C1=最終http（httpsは証明書CN=*.bizmw.comでホスト名不一致・接続不可。httpは200・httpsへ未転送）。C2=tel:0（番号テキストのみ 0857-38-3360）。C3=viewportあり・568px以下でheader extraはwidth:100%。C4=Last-Modified 2022-04-13 / ニュース2016-09-21止。粗:(1)https未整備（証明書不一致）(2)tel:なし（番号テキストのみ）(3)ニュース2016止,法人・資本金2000万・建設業許可・宅建業許可・一級建築士・設立昭和61,"d-signboard,b-atelier","https://calcite-ai.github.io/calcite-demos/buyout-prospects/buildtect/d-signboard/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/buildtect/b-atelier/",paused,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-08-25 / Gmail id 1a038d2c1c059129 / デモ公開 2026-08-25（PR#6 merge後に送信） / IMAP bounce 2026-08-27 kind=hard,2,2026-08-23,2026-08-25,2026-08-27,hard,,,,,,,v1_initial_66k
株式会社基工務店,motokou@mtd.jp,"http://mtd.jp/",2026-08-26 G1: C0=公式はmtd.jpのみ（www同内容。検索・企業DBも同URL。別の新公式なし）。C1=最終http（httpsは証明書CN=*.conohawing.comでホスト名不一致・接続不可。httpは200・httpsへ未転送）。C2=tel:0（番号テキストのみ 0235-64-1043）。C3=viewportあり・max-width:760pxで#BodyAreaはwidth:auto。C4=Last-Modified 2020-08-31 / ©2018。粗:(1)https未整備（証明書ホスト名不一致）(2)tel:なし（番号テキストのみ）(3)更新停止感（Last-Modified 2020-08 / ©2018）,法人・中小,"b-atelier,c-daylight","https://calcite-ai.github.io/calcite-demos/buyout-prospects/moto-koumuten/b-atelier/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/moto-koumuten/c-daylight/",paused,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-08-26 bounce 552 mailbox full (motokou@mtd.jp) Gmail id 1a03e391d6d66308。容量回復まで再送禁止。電話テキスト 0235-64-1043 / bounce=mailbox_full 2026-08-26,3,2026-08-23,,2026-08-26,mailbox_full,,,,,,,
村上工務店,murakamikoumuten4396@gmail.com,"http://murakamikoumuten.jp/",2026-08-26 G1: C0=公式 murakamikoumuten.jp。C1=最終http（https未確認/SSL未整備訴求）。C2=tel:0（番号テキスト 029-262-4396・全角表記あり）。C3=viewport要確認。C4=Last-Modified 2021-09 / HTML内2019止。粗:(1)https未整備(2)tel:なし(3)更新停止感。住所 〒311-1213 茨城県ひたちなか市牛久保2-13-15,法人・中小,"b-atelier,c-daylight","https://calcite-ai.github.io/calcite-demos/buyout-prospects/murakami-koumuten/b-atelier/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/murakami-koumuten/c-daylight/",sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-08-26 / Gmail id 1a03e3f387323f4b / デモ公開 2026-08-26（b-atelier+c-daylight）,4,2026-08-23,2026-08-26,,,,,,,,,v1_initial_66k
中武建設株式会社,info@nakatake.co.jp,"http://www.nakatake.co.jp/",2026-08-27 G1: C0=公式はnakatake.co.jpのみ（www同内容。Cleanup.jp・法人DBも同ドメイン。別の新公式なし。西都市・有限会社中武建設／日南市・株式会社中武工務店は別法人）。C1=最終http（httpsはTLSエラーで接続不可。httpは200・httpsへ未転送）。C2=tel:0（番号テキストのみ 0985-48-2447）。C3=viewportなし。C4=Last-Modified 2007-01-18 / COPY RIGHT 20XX。粗:(1)https未整備（TLS接続不可）(2)viewportなし(3)tel:なし（番号テキストのみ）,法人・資本金3300万・設立1977・建設業許可,"b-atelier,c-daylight","https://calcite-ai.github.io/calcite-demos/buyout-prospects/nakatake-kensetsu/b-atelier/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/nakatake-kensetsu/c-daylight/",sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-08-27 / SMTP <9d5286a2-7e99-5ec4-908c-8fc3ab129ead@calcite-ai.jp> / GitHub Actions daily-send,5,2026-08-23,2026-08-27,,,,,,,,,v1_initial_66k
高野建設有限会社,takano.hiroshi@jade.plala.or.jp,"http://www.takano-kensetu.jp/",2026-08-28 G1: C0=公式はtakano-kensetu.jpのみ（www。検索・会社概要・あきばれHPも同ドメイン。kensetumap.comはディレクトリ。別の新公式なし。他県の同名建設は別法人）。C1=最終http（https証明書期限切れ2016-09-12・insecureでもhttpへ301。httpは200）。C2=tel:0（番号テキストのみ 0270-75-4029。format-detection=telephone=no）。C3=viewportなし（layout.css min-width/width:980px・メディアクエリ0）。C4=(c)高野建設有限会社（年なし）/ SSL証明書2015-2016。粗:(1)https未整備（証明書期限切れ2016・https→http 301）(2)viewportなし（min-width:980px）(3)tel:なし（番号テキストのみ）,法人・建設業許可（群馬県知事許可 般-3 第22686号）・ハウスプラスすまい保険・設立平成元年,"b-atelier,c-daylight","https://calcite-ai.github.io/calcite-demos/buyout-prospects/takano-kensetsu/b-atelier/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/takano-kensetsu/c-daylight/",sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-08-28 / SMTP <89f4de32-65fc-1a1e-f10a-5c730a59f888@calcite-ai.jp> / GitHub Actions daily-send,6,2026-08-23,2026-08-28,,,,,,,,,v1_initial_66k
株式会社マゴメ工務店,info@magome-net.co.jp,"http://www.magome-net.co.jp/company/",2026-08-29 G1: C0=公式はmagome-net.co.jpのみ（www。会社概要のHP欄も同URL。検索・labocity・perfjuutaku・engageも同ドメイン。magome-k.netはディレクトリ引用のみでDNS未登録＝新公式ではない。問い合わせはalpha-prmの外部フォーム）。C1=最終http（httpsはSSL handshake失敗 EOF。httpは200）。C2=tel:0（番号は画像alt/フッターテキスト 03-3775-2101のみ。mailtoは会社概要にあり）。C3=viewportなし（style.css #header/#wrap width:960px・メディアクエリ0・Last-Modified 2015-12-07）。C4=Copyright年なし / WP 3.8.1 / 新着ZEH 2020-4-27。粗:(1)https未整備（SSL接続不可）(2)viewportなし（width:960px）(3)tel:なし（番号テキスト/画像のみ）,法人・資本金3000万・特定建設業・一級建築士事務所・創業昭和36年,"b-atelier,c-daylight","https://calcite-ai.github.io/calcite-demos/buyout-prospects/magome-koumuten/b-atelier/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/magome-koumuten/c-daylight/",sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-08-30 / SMTP <77024df1-ea78-a2f8-1217-39bce73dd76e@calcite-ai.jp> / GitHub Actions daily-send,7,2026-08-23,2026-08-30,,,,,,,,,v1_initial_66k
株式会社田代建築事務所,toraoumaru1970@cus4.tashiro-kentiku-jimusho.info,"http://www.tashiro-kentiku-jimusho.info/contact/",2026-08-31 G1: C0=公式はtashiro-kentiku-jimusho.infoのみ（www。検索・にいがた住宅センター・ホームズ君・建設マップも同URL。別の新公式なし）。C1=最終http（https証明書CN=*.alpha-mail.jpでホスト名不一致。insecureでも403。httpは200）。C2=tel:0（番号テキストのみ 0254-25-2598。mailtoはお問合せにあり）。C3=viewportあり・メディアクエリあり（VKテーマ 768/992）。C4=Copyright年なし / WP 4.9.18 / 新着2017-10-17止。粗:(1)https未整備（証明書ホスト名不一致・https 403）(2)tel:なし（番号テキストのみ）(3)更新停止感（新着2017-10止）,法人・一級建築士事務所・建設業許可・資本金500万,"b-atelier,c-daylight","https://calcite-ai.github.io/calcite-demos/buyout-prospects/tashiro-kentiku-jimusho/b-atelier/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/tashiro-kentiku-jimusho/c-daylight/",sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-08-31 / SMTP <e4223dc2-aa1f-a396-248c-78a0245aedf2@calcite-ai.jp> / GitHub Actions daily-send,8,2026-08-23,2026-08-31,,,,,,,,,v1_initial_66k
髙須工務店,info@takas.co.jp,"http://www.takas.co.jp/",2026-08-31 G1: C0=公式はtakas.co.jpのみ（www。会社概要HP欄も同URL。検索・法人DBも同ドメイン。k-takasu.comは茨城県潮来市の別法人。熊本の同名も別法人）。C1=最終http（https証明書CN=cs363.xbit.jpでホスト名不一致。insecureなら200だが警告。httpは200）。C2=tel:0（番号テキストのみ 03-3772-6759。mailtoはトップ/会社概要にあり）。C3=viewportあり・Bootstrapメディアクエリあり。C4=©2018 / トップLast-Modified 2019-09-20 / 会社概要2022-08-26。粗:(1)https未整備（証明書ホスト名不一致）(2)tel:なし（番号テキストのみ）(3)更新停止感（©2018・トップLast-Modified 2019-09）,法人・創業昭和11・資本金1000万・東京都知事許可・ハウスプラス,"b-atelier,c-daylight","https://calcite-ai.github.io/calcite-demos/buyout-prospects/takasu-koumuten/b-atelier/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/takasu-koumuten/c-daylight/",sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-08-31 / SMTP <6716fbdb-9b82-25ce-a985-969cfed1f9de@calcite-ai.jp> / GitHub Actions daily-send,9,2026-08-23,2026-08-31,,,,,,,,,v1_initial_66k
矢島工務店,info@yajima-k.jp,"http://www.yajima-k.jp/",2026-09-01 inside移行: HTTPS整備済・発注者目線の信頼設計が訴求軸。buyout(66k)見送り→hp_improve,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー / 2026-09-01 buyout→inside hp_improve,10,2026-08-23,,,,,,,,,,
岩田水道工務店,info@iwatasuidou.co.jp,"https://www.iwatasuidou.co.jp/company.html",2026-09-01 G1: C0=公式はiwatasuidou.co.jpのみ（www。検索・会社案内URL欄も同ドメイン。別の新公式なし）。C1=最終https（httpは301でhttpsへ。SSL未整備とは書かない）。C2=tel:0（番号テキストのみ 0586-87-6565。mailtoは会社案内にあり）。C3=viewportなし。C4=Copyright 2014 / HTML内2019止。粗:(1)viewportなし(2)tel:なし（番号テキストのみ）(3)更新停止感（©2014・HTML内2019止）,法人・資本金1000万・愛知県知事許可・創業昭和62,"b-atelier,c-daylight","https://calcite-ai.github.io/calcite-demos/buyout-prospects/iwata-suidou-koumuten/b-atelier/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/iwata-suidou-koumuten/c-daylight/",sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-01 / SMTP <a8fd5cb8-9bdc-701a-0429-adc8167a5752@calcite-ai.jp> / GitHub Actions daily-send,11,2026-08-23,2026-09-01,,,,,,,,,v1_initial_66k
温戸ライフ,info@ondolife.jp,"http://ondolife.jp/",2026-08-24 再診: 最終HTTPS可。viewportあり。tel:0。G1見送り=HTTPS整備済で訴求弱(粗2点未満),法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー / 2026-08-24 再診除外: HTTPS有効(https://ondolife.jp/)+viewportあり・更新新しめ。残訴求はtel:なしのみで弱→オーナー方針どおり除外,12,2026-08-23,,,,,,,,,,
株式会社須藤建設,info@suto-k.co.jp,"http://www.suto-k.co.jp/",2026-09-01 G1: C0=公式はsuto-k.co.jpのみ（www。検索・会社案内・アットホームも同ドメイン。北海道の須藤建設株式会社は別法人）。C1=最終http（https証明書CN=*.sakura.ne.jpでホスト名不一致。insecureでも403。httpは200）。C2=tel:0（番号テキストのみ 023-688-2169。mailtoなし・メールはテキストinfo@suto-k.co.jp）。C3=viewportなし（index.cssにメディアクエリなし）。C4=©2008 / Last-Modified 2026-08-17（更新停止感は使わない）。粗:(1)https未整備（証明書ホスト名不一致・https 403）(2)viewportなし(3)tel:なし（番号テキストのみ）,法人・創業大正12・建設業許可・宅建業許可・設計事務所,"b-atelier,c-daylight","https://calcite-ai.github.io/calcite-demos/buyout-prospects/suto-kensetsu/b-atelier/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/suto-kensetsu/c-daylight/",sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-02 / SMTP <0c4dd580-913b-412e-e1a2-1ad87a5e57ad@calcite-mail.jp> / 手動送信（SendGrid host fix）,13,2026-08-23,2026-09-02,,,,,,,,,v1_initial_66k
有限会社松田宅建センター,info@matsuda-takken.jp,"http://www.matsuda-takken.jp/company/",2026-08-24 再診: 最終HTTPS可。viewportあり。tel:0。G1見送り=HTTPS整備済で訴求弱,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー / 2026-08-24 再診除外: HTTPS有効+viewportあり。残訴求はtel:なしのみで弱→除外,14,2026-08-23,,,,,,,,,,
株式会社エースホーム,info@acehome.net,"http://acehome.net/",2026-08-24 再診: 最終HTTPS可。viewportあり。tel:0。G1見送り=HTTPS整備済で訴求弱,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー / 2026-08-24 再診除外: HTTPS有効+viewportあり・更新新しめ。残訴求はtel:なしのみで弱→除外,15,2026-08-23,,,,,,,,,,
株式会社ネオハウス,info@neohouse.jp,"https://www.neohouse.jp/",2026-09-03 G1: C0=公式はneohouse.jpのみ（www。検索・会社概要・PITACT・BIZMAPSも同ドメイン。マキノ建築は沿革上の先代屋号で別公式なし。他県の同名は別法人）。C1=最終https（https://www.neohouse.jp/ 200。httpも200でhttpsへ未強制転送。SSL未整備とは書かない）。C2=tel:0（番号テキストのみ 0258-62-2112。mailtoはトップ/会社概要にinfo@neohouse.jp）。C3=viewportなし（include.css width:990px・メディアクエリ0）。C4=©2024 / 新着フラット35 2026-09-01（更新停止感は使わない）。粗:(1)viewportなし（width:990px）(2)tel:なし（番号テキストのみ）,法人・資本金900万・建設業許可・一級建築士事務所・創業昭和30,"e-taisei,f-sanyu","https://calcite-ai.github.io/calcite-demos/buyout-prospects/neohouse/e-taisei/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/neohouse/f-sanyu/",sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-03 / SMTP <662b81b3-36df-1ae5-f69f-3b8d95b2780d@calcite-mail.jp> / GitHub Actions daily-send / 2026-09-03 デモをE+F在庫画像のみに差し替え（ABCD削除・先方画像禁止）,16,2026-08-23,2026-09-03,,,,,,,,,v1_initial_66k
株式会社森川建築事務所,info@morikawa-ie.com,"http://morikawa-ie.com/contact",2026-08-24 再診: 最終HTTPS可。viewportあり。tel:0。G1見送り=HTTPS整備済で訴求弱,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー / 2026-08-24 再診除外: HTTPS有効+viewportあり。残訴求はtel:なしのみで弱→除外,17,2026-08-23,,,,,,,,,,
黒田工務店,kurota-koumuten@hb.tp1.jp,"https://kurotakoumuten.web.fc2.com/",2026-08-24 再診残置: HTTPS。粗残:(1)viewportなし(2)tel:なし(3)更新停止感(HTML内2012止),法人・中小,"e-taisei,f-sanyu","https://calcite-ai.github.io/calcite-demos/buyout-prospects/kurota-koumuten/e-taisei/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/kurota-koumuten/f-sanyu/",paused,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-03 / SMTP <8715ab86-3213-ca3f-691a-54276aae22c1@calcite-mail.jp> / ローカル daily-send-one（オーナー確認後・23:47 JST） / SendGrid bounce 2026-09-03 kind=hard 550 5.1.1 User Unknown,18,2026-08-23,2026-09-03,2026-09-03,hard,,,,,,,v1_initial_66k
有限会社木香,info@mocca-house.com,"http://mocca-house.com/",2026-08-23 owner承認。scan:粗:(1)SSL未整備(2)viewportなし(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー,19,2026-08-23,,,,,,,,,,
有限会社佐藤工務店,info@bluemoon-s.com,"http://www.bluemoon-s.com/",2026-08-23 owner承認。scan:粗:(1)SSL未整備(2)viewportなし(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー,21,2026-08-23,,,,,,,,,,
株式会社望月工務店,hikaru@mochizuki-koumuten.jp,"http://www.mochizuki-koumuten.jp/",2026-08-24 再診: 最終HTTPS可。viewportあり。tel:0。G1見送り=HTTPS整備済で訴求弱,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー / 2026-08-24 再診除外: HTTPS有効+viewportあり。残訴求はtel:なしのみで弱→除外,22,2026-08-23,,,,,,,,,,
株式会社五十嵐建築,chachakiki0320@yahoo.co.jp,"http://www.chachakiki.com/",2026-08-23 owner承認。scan:粗:(1)SSL未整備(2)viewportなし(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー,23,2026-08-23,,,,,,,,,,
株式会社本田谷田部,info01@honda-yatabe.com,"https://www.honda-yatabe.com/company.html",2026-08-24 再診: 公式トップ最終HTTPS・viewportあり・tel:2・2025更新。G1見送り=サイト新し・導線整備済,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー / 2026-08-24 再診除外: 公式トップ https://www.honda-yatabe.com/ はHTTPS+viewport+tel整備済。company.htmlの粗はトップでは無効→除外,24,2026-08-23,,,,,,,,,,
株式会社高嶋材木店,info@takashima-zaimoku.jp,"http://www.takashima-zaimoku.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備(2)viewportなし(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー,25,2026-08-23,,,,,,,,,,
テクノウッドワークス株式会社,sales@technowoodworks.com,"http://www.technowoodworks.com/inquiry/",2026-08-23 owner承認。scan:粗:(1)SSL未整備(2)更新停止感(HTML内2013止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー,26,2026-08-23,,,,,,,,,,
有限会社上野建築事務所,info@ueno-kenchiku.co.jp,"http://www.ueno-kenchiku.co.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備(2)viewportなし(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー,27,2026-08-23,,,,,,,,,,
有限会社出浦商事,info@ideura.com,"http://ideura.com/",2026-08-23 owner承認。scan:粗:(1)SSL未整備(2)更新停止感(HTML内2005止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー,28,2026-08-23,,,,,,,,,,
株式会社匠技建,info@takumigiken.com,"http://www.takumigiken.com/contact",2026-08-24 オーナー指示除外。再診ではHTTPSも有効だが指示どおり送信禁止,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー / 2026-08-24 オーナー指示除外（匠技建）,29,2026-08-23,,,,,,,,,,
株式会社守屋工務店,info@moriyakoumuten.com,"https://www.moriyakoumuten.com/",2026-08-24 再診残置: HTTPS。粗残:(1)viewportなし(2)tel:なし,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー,30,2026-08-23,,,,,,,,,,
株式会社三ツワ金砂郷工場,keiri@mitsuwa-net.jp,"http://www.mitsuwa-net.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー,31,2026-08-23,,,,,,,,,,
ＫＡＺ空間企画,mail@kaz-kuukan.com,"http://www.kaz-kuukan.com/",2026-08-23 owner承認。scan:粗:(1)SSL未整備(2)viewportなし(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー,32,2026-08-23,,,,,,,,,,
